cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
LEYBOURNE (SS. PETER AND PAUL) CHURCHYARD,2,,2,United Kingdom,Kent
LEYLAND (ST. ANDREW) CHURCHYARD,15,6,21,United Kingdom,Lancashire
LEYLAND (ST. JAMES) CHURCHYARD,2,,2,United Kingdom,Lancashire
LEYSDOWN (ST. CLEMENT) CHURCHYARD,11,20,31,United Kingdom,Kent
LEYTON (ST. MARY WITH ST. EDWARD) CHURCHYARD,4,2,6,United Kingdom,Essex
LEYTONSTONE (ST. PATRICK'S) ROMAN CATHOLIC CEMETERY,148,136,287,United Kingdom,Essex
LEZANT (ST. BRIOCHUS) CHURCHYARD,1,,1,United Kingdom,Cornwall
LIART COMMUNAL CEMETERY,1,,1,France,Ardennes
LIBERTY CEMETERY,1,,1,United States of America,New York
LIBRAMONT COMMUNAL CEMETERY,2,,2,Belgium,Luxembourg
LICHFIELD (ST. CHAD) CHURCHYARD AND EXTENSION,10,6,16,United Kingdom,Staffordshire
LICHFIELD (ST. MICHAEL) CHURCHYARD,26,8,34,United Kingdom,Staffordshire
"LICHFIELD CRATER, THELUS",58,,58,France,Pas de Calais
LICKEY (HOLY TRINITY) CHURCHYARD EXTENSION,2,5,7,United Kingdom,Worcestershire
LIDLINGTON (ST. MARGARET) CHURCHYARD,1,1,2,United Kingdom,Bedfordshire
LIDZBARK WARMINSKI WAR CEMETERY,39,,39,Poland,
LIEGE (ROBERMONT) CEMETERY,49,2,52,Belgium,Liege
LIENCOURT COMMUNAL CEMETERY,1,,1,France,Pas de Calais
LIERCOURT CHURCHYARD,1,,1,France,Somme
LIEVIN COMMUNAL CEMETERY EXTENSION,688,1,689,France,Pas de Calais
LIFFORD (ST. MARY'S) ANGLICAN CEMETERY,1,1,2,Canada,Ontario
LIGHTCLIFFE (ST. MATTHEW) OLD CHURCHYARD,5,1,6,United Kingdom,Yorkshire
LIGHTHORNE (ST. LAURENCE) CHURCHYARD,1,1,2,United Kingdom,Warwickshire
LIGNY-EN-CAMBRESIS COMMUNAL CEMETERY,40,,40,France,Nord
"LIGNY-ST. FLOCHEL BRITISH CEMETERY, AVERDOINGT",677,,677,France,Pas de Calais
LIGNY-SUR-CANCHE BRITISH CEMETERY,80,,80,France,Pas de Calais
LIHONS FRENCH NATIONAL CEMETERY,8,,8,France,Somme
LIJSSENTHOEK MILITARY CEMETERY,10785,,10786,Belgium,West-Vlaanderen
"LILIEBURN FARM BURIAL GROUND, WARBURTON",1,,1,South Africa,Mpumalanga
LILLE SOUTHERN CEMETERY,337,280,617,France,Nord
LILLEHAMMER CHURCHYARD,1,,1,Norway,
LILLERS COMMUNAL CEMETERY,909,,909,France,Pas de Calais
LILLERS COMMUNAL CEMETERY EXTENSION,71,,71,France,Pas de Calais
LILLESHALL (ST. MICHAEL) CHURCHYARD EXTENSION,2,1,3,United Kingdom,Shropshire
LILLEY (ST. PETER) CHURCHYARD,2,1,3,United Kingdom,Hertfordshire
LILLINGSTONE DAYRELL (ST. NICHOLAS OF MYRA) CHURCHYARD,1,1,2,United Kingdom,Buckinghamshire
LILLINGSTONE LOVELL CEMETERY,1,,1,United Kingdom,Buckinghamshire
LILLINGTON (ST. MARTIN) CHURCHYARD,2,,2,United Kingdom,Dorset
LILLINGTON (ST. MARY MAGDALENE) CHURCHYARD,2,3,5,United Kingdom,Warwickshire
LILYDALE CIVIL CEMETERY,3,1,4,Australia,Victoria
LIMASSOL ROMAN CATHOLIC CEMETERY,1,,1,Cyprus,
LIMBE BOTANICAL GARDENS BURIAL GROUND,6,15,21,Cameroon,
LIMBE EUROPEAN CEMETERY,1,1,3,Cameroon,
LIMERICK (KING'S ISLAND) MILITARY CEMETERY,39,,39,"Ireland, Republic of",County Limerick
LIMERICK (MOUNT ST. LAWRENCE) CEMETERY,39,10,49,"Ireland, Republic of",County Limerick
LIMERICK (ST. MARY) CATHEDRAL CHURCHYARD,1,2,3,"Ireland, Republic of",County Limerick
LIMERICK (ST. PATRICK'S) GRAVEYARD,4,1,5,"Ireland, Republic of",County Limerick
LIMINGTON (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Somerset
LIMOGES (ST. VIATEUR) ROMAN CATHOLIC CEMETERY,1,,1,Canada,Ontario
LIMPENHOE (ST. BOTOLPH) CHURCHYARD,2,,2,United Kingdom,Norfolk
LIMPSFIELD (ST. PETER) CHURCHYARD,7,7,14,United Kingdom,Surrey
LINCH (ST. LUKE) CHURCHYARD,2,,2,United Kingdom,Sussex
LINCHMERE (ST. PETER) CHURCHYARD,1,,1,United Kingdom,Sussex
LINCOLN (CANWICK ROAD) CEMETERY,34,17,51,United Kingdom,Lincolnshire
LINCOLN (EASTGATE) (OR ST. PETER'S) CEMETERY,3,2,6,United Kingdom,Lincolnshire
LINCOLN (NEWPORT) CEMETERY,140,121,264,United Kingdom,Lincolnshire
LINCOLN (ST. SWITHIN'S) CEMETERY,14,11,25,United Kingdom,Lincolnshire
LINCOLN CEMETERY,1,,2,New Zealand,Selwyn District
LINDALE (ST. PAUL) CHURCHYARD,1,1,2,United Kingdom,Lancashire
LINDEN HILLSIDE CEMETERY,1,,1,Canada,Nova Scotia
LINDENHOEK CHALET MILITARY CEMETERY,317,,317,Belgium,West-Vlaanderen
LINDFIELD RURAL (WALSTEAD) CEMETERY,6,2,8,United Kingdom,Sussex
LINDLEY (ST. STEPHEN) CHURCHYARD,8,1,9,United Kingdom,Yorkshire
LINDLEY METHODIST CHAPELYARD,4,,4,United Kingdom,Yorkshire
LINDOW (ST. JOHN) CHURCHYARD,4,1,5,United Kingdom,Cheshire
LINDRIDGE (ST. LAWRENCE) CHURCHYARD EXTENSION,1,,1,United Kingdom,Worcestershire
LINDSAY (ST. MARY'S) CATHOLIC CEMETERY,1,,1,Canada,Ontario
LINDSAY PUBLIC CEMETERY,1,1,2,Canada,New Brunswick
LINDSAY RIVERSIDE CEMETERY,8,8,16,Canada,Ontario
LINGFIELD (SS. PETER AND PAUL) CHURCHYARD EXTENSION,3,1,4,United Kingdom,Surrey
LINLITHGOW CEMETERY,20,11,31,United Kingdom,West Lothian
LINSELLES COMMUNAL CEMETERY,33,6,39,France,Nord
LINSLADE (ST. MARY) CHURCHYARD,1,5,6,United Kingdom,Buckinghamshire
LINTHWAITE (CHRIST CHURCH) CHURCHYARD AND EXTENSION,2,6,8,United Kingdom,Yorkshire
LINTHWAITE METHODIST BURIAL GROUND,2,2,4,United Kingdom,Yorkshire
LINTON (CHRIST CHURCH) CHURCHYARD,2,1,3,United Kingdom,Derbyshire
LINTON (ST. NICHOLAS) CHURCHYARD,2,,2,United Kingdom,Kent
LINTON CEMETERY,1,1,2,United Kingdom,Cambridgeshire
LINTON CIVIL CEMETERY,2,1,3,Australia,Victoria
LINTON-IN-CRAVEN (ST. MICHAEL) CHURCHYARD,3,5,8,United Kingdom,Yorkshire
LINWOOD (ST. CORNELIUS) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
"LIONACUIDHE BURIAL GROUND, SOUTH UIST",4,4,8,United Kingdom,Inverness-shire
LISBELLAW CHURCH OF IRELAND CHURCHYARD,1,1,2,United Kingdom,County Fermanagh
LISBON (ST. GEORGE) BRITISH CHURCHYARD,5,26,39,Portugal,
LISBUNNY CEMETERY,2,,2,"Ireland, Republic of",County Tipperary
LISBURN (HOLY TRINITY) ROMAN CATHOLIC CEMETERY,3,6,9,United Kingdom,County Antrim
LISBURN CEMETERY,13,16,29,United Kingdom,County Antrim
LISCOMB (ST. LUKE'S) ANGLICAN CEMETERY,1,2,3,Canada,Nova Scotia
LISKEARD (LANCHARD) CEMETERY,4,4,8,United Kingdom,Cornwall
LISKEARD (ST. MARTIN) CHURCHYARD,4,9,13,United Kingdom,Cornwall
LISLEE CHURCH OF IRELAND CHURCHYARD,1,,1,"Ireland, Republic of",County Cork
LISMORE (ST. MARY'S) CEMETERY,1,,1,Canada,Nova Scotia
LISMORE CEMETERY,3,14,17,Australia,New South Wales
LISMORE OLD CATHOLIC CEMETERY,1,,1,"Ireland, Republic of",County Waterford
LISNASKEA (HOLY TRINITY) CHURCH OF IRELAND CHURCHYARD,2,3,5,United Kingdom,County Fermanagh
LISS (ST. MARY) CHURCHYARD,3,10,13,United Kingdom,Hampshire
LISSAN CHURCH OF IRELAND CHURCHYARD,1,,1,United Kingdom,County Londonderry
LISSINGTON (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
LISTON CHURCHYARD,1,,1,United Kingdom,Essex
LISTOWEL (FAIRVIEW) CEMETERY,7,1,8,Canada,Ontario
LISTOWEL CEMETERY,1,,1,"Ireland, Republic of",County Kerry
LITLINGTON (ST. CATHERINE) CHURCHYARD,1,1,2,United Kingdom,Cambridgeshire
LITLINGTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Sussex
LITTLE ABINGTON (ST. MARY) CHURCHYARD,1,2,3,United Kingdom,Cambridgeshire
LITTLE ADDINGTON (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Northamptonshire
LITTLE ALDOUANE ROMAN CATHOLIC CEMETERY,1,,1,Canada,New Brunswick
LITTLE AMWELL (HOLY TRINITY) CHURCHYARD,3,1,4,United Kingdom,Hertfordshire
LITTLE ASTON (ST. PETER) CHURCHYARD,3,4,7,United Kingdom,Staffordshire
LITTLE BADDOW (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Essex
LITTLE BADMINTON (ST. MICHAEL AND ALL ANGELS) CHURCHYARD,3,1,4,United Kingdom,Gloucestershire
LITTLE BARDFIELD (ST. KATHERINE) CHURCHYARD,1,,1,United Kingdom,Essex
LITTLE BARFORD (ST. DENYS) CHURCHYARD,2,,2,United Kingdom,Bedfordshire
LITTLE BEALINGS (ALL SAINTS) CHURCHYARD,1,1,2,United Kingdom,Suffolk
LITTLE BENTLEY (ST. MARY) CHURCHYARD,3,,3,United Kingdom,Essex
LITTLE BIRCH (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Herefordshire
LITTLE BLAKENHAM (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
LITTLE BOOKHAM CHURCHYARD,1,,1,United Kingdom,Surrey
LITTLE BRAY (ST. PETER'S) CATHOLIC CEMETERY,3,6,9,"Ireland, Republic of",County Wicklow
LITTLE BUDWORTH (ST. PETER) CHURCHYARD,4,,4,United Kingdom,Cheshire
LITTLE BYTHAM (ST. MEDARD) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
LITTLE CASTERTON (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Rutland
LITTLE CHART (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Kent
LITTLE COATES (ST. MICHAEL) CHURCHYARD,3,3,6,United Kingdom,Lincolnshire
LITTLE CORNARD (ALL SAINTS) CHURCHYARD,4,,4,United Kingdom,Suffolk
LITTLE COXWELL (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Berkshire
LITTLE DEWCHURCH (ST. DAVID) CHURCHYARD,2,,2,United Kingdom,Herefordshire
LITTLE DRAYTON (CHRIST CHURCH) CHURCHYARD,3,4,7,United Kingdom,Shropshire
LITTLE DUNKELD PARISH CHURCHYARD,4,3,7,United Kingdom,Perthshire
LITTLE DUNMOW (ST. MARY) CHURCHYARD,2,1,3,United Kingdom,Essex
LITTLE EATON (ST. PAUL) CHURCHYARD,1,1,2,United Kingdom,Derbyshire
LITTLE EVERSDEN (ST. HELEN) CHURCHYARD,1,,1,United Kingdom,Cambridgeshire
LITTLE FINBOROUGH (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
LITTLE GADDESDEN (SS. PETER AND PAUL) CHURCHYARD,3,3,6,United Kingdom,Hertfordshire
LITTLE GIDDING (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Huntingdonshire
LITTLE HADHAM CONGREGATIONAL CHAPELYARD,1,,1,United Kingdom,Hertfordshire
LITTLE HALLINGBURY BURIAL GROUND,3,,3,United Kingdom,Essex
LITTLE HORKESLEY (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Essex
LITTLE HORSTED (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Sussex
LITTLE ILFORD (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Essex
LITTLE KINGSHILL BAPTIST CHAPELYARD,1,1,2,United Kingdom,Buckinghamshire
LITTLE LEVER (ST. MATTHEW) CHURCHYARD,5,4,9,United Kingdom,Lancashire
LITTLE LEVER UNITED REFORMED CHURCHYARD,5,1,6,United Kingdom,Lancashire
LITTLE LEVER WESLEYAN CHURCHYARD,2,,2,United Kingdom,Lancashire
LITTLE MARCLE (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Herefordshire
LITTLE MARLOW CEMETERY,2,1,3,United Kingdom,Buckinghamshire
LITTLE MARSDEN (ST. PAUL) CHURCHYARD,2,7,9,United Kingdom,Lancashire
LITTLE MASSINGHAM (ST. ANDREW) CHURCHYARD,2,7,9,United Kingdom,Norfolk
LITTLE MISSENDEN (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Buckinghamshire
LITTLE NARROWS PRESBYTERIAN CEMETERY,1,,1,Canada,Nova Scotia
LITTLE NESS (ST. MARTIN) CHURCHYARD,1,,1,United Kingdom,Shropshire
LITTLE NESTON (ST. WINIFRED) ROMAN CATHOLIC CHURCHYARD,2,,2,United Kingdom,Cheshire
LITTLE OUSEBURN (HOLY TRINITY) CHURCHYARD,1,,1,United Kingdom,Yorkshire
LITTLE PLUMSTEAD (SS. GERVASIUS AND PROTASIUS) CHURCHYARD,3,2,5,United Kingdom,Norfolk
LITTLE RIVER CEMETERY,1,,1,New Zealand,Banks Peninsula District
"LITTLE SANDS CEMETERY, WOOD ISLAND NORTH",1,,1,Canada,Prince Edward Island
LITTLE SAXHAM (ST. NICHOLAS) CHURCHYARD,1,1,2,United Kingdom,Suffolk
LITTLE SHELFORD (ALL SAINTS) CHURCHYARD,2,1,3,United Kingdom,Cambridgeshire
LITTLE STANMORE (ST. LAWRENCE) CHURCHYARD,1,20,21,United Kingdom,Middlesex
LITTLE STONHAM (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
LITTLE STRICKLAND (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Westmorland
LITTLE TEY (ST. JAMES) CHURCHYARD,1,,1,United Kingdom,Essex
LITTLE TORRINGTON (ST. GILES) CHURCHYARD,1,,1,United Kingdom,Devon
LITTLE TOTHAM (ALL SAINTS) CHURCHYARD,2,,2,United Kingdom,Essex
LITTLE WAKERING (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Essex
LITTLE WALSINGHAM (ST. MARY) CHURCHYARD,4,,4,United Kingdom,Norfolk
LITTLE WALTHAM (ST. MARTIN) CHURCHYARD,3,,3,United Kingdom,Essex
LITTLE WENLOCK (ST. LAWRENCE) CHURCHYARD,1,,1,United Kingdom,Shropshire
LITTLE WRATTING (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
LITTLE WYMONDLEY (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Hertfordshire
LITTLE YELDHAM (ST. JOHN THE BAPTIST) CHURCHYARD,1,1,2,United Kingdom,Essex
LITTLEBOROUGH (DEARNLEY) CEMETERY,13,3,16,United Kingdom,Lancashire
LITTLEBOROUGH (ST. NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Nottinghamshire
LITTLEBOURNE (ST. VINCENT) CHURCHYARD,1,2,3,United Kingdom,Kent
LITTLEBURY (HOLY TRINITY) CHURCHYARD,2,1,3,United Kingdom,Essex
LITTLEHAM (SS. MARGARET AND ANDREW) CHURCHYARD,26,16,42,United Kingdom,Devon
LITTLEHAMPTON CEMETERY,16,68,84,United Kingdom,Sussex
LITTLEMORE (SS. MARY AND NICHOLAS) CHURCHYARD,9,3,12,United Kingdom,Oxfordshire
LITTLEPORT NEW CEMETERY,7,3,10,United Kingdom,Cambridgeshire
LITTLETON (ST. MARY MAGDALENE) CHURCHYARD,4,,4,United Kingdom,Middlesex
LITTLEWICK (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Berkshire
LITTLEWORTH (THE ASCENSION) CHURCHYARD,1,1,2,United Kingdom,Berkshire
LITTON (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Somerset
LIVERPOOL (ALLERTON) CEMETERY,116,298,416,United Kingdom,Lancashire
LIVERPOOL (ANFIELD) CEMETERY,453,527,989,United Kingdom,Lancashire
LIVERPOOL (BROAD GREEN) JEWISH CEMETERY,6,2,8,United Kingdom,Lancashire
LIVERPOOL (EVERTON) CEMETERY,55,15,71,United Kingdom,Lancashire
LIVERPOOL (FORD) ROMAN CATHOLIC CEMETERY,242,191,433,United Kingdom,Lancashire
LIVERPOOL (KIRKDALE) CEMETERY,393,121,516,United Kingdom,Lancashire
LIVERPOOL (TOXTETH PARK) CEMETERY,230,45,275,United Kingdom,Lancashire
LIVERPOOL (UNITED CHURCH) WEST CEMETERY,2,1,3,Canada,Nova Scotia
LIVERPOOL (WALTON PARK) CEMETERY,18,17,35,United Kingdom,Lancashire
LIVERPOOL (WALTON) HEBREW BURIAL GROUND,5,10,15,United Kingdom,Lancashire
LIVERPOOL (WEST DERBY) CEMETERY,111,131,242,United Kingdom,Lancashire
LIVERPOOL (YEW TREE) ROMAN CATHOLIC CEMETERY,37,66,103,United Kingdom,Lancashire
LIVERPOOL ANGLICAN CEMETERY,1,1,2,Canada,Nova Scotia
LIVERPOOL BAPTIST CEMETERY,1,2,3,Canada,Nova Scotia
LIVERPOOL NEW CEMETERY,16,3,19,Australia,New South Wales
LIVERPOOL OLD CEMETERY,39,,39,Australia,New South Wales
LIVERTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Yorkshire
LIVES-SUR-MEUSE CHURCHYARD,1,,1,Belgium,Namur
LIVINGSTON CHURCHYARD EXTENSION,8,1,9,United Kingdom,West Lothian
LIVINGSTONE CAMP MEMORIAL,102,,102,Zambia,
LLAN FFESTINIOG (NEWBOROUGH) BURIAL GROUND,1,,1,United Kingdom,Merionethshire
LLAN FFESTINIOG (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Merionethshire
LLAN FFESTINIOG CEMETERY,6,2,8,United Kingdom,Merionethshire
LLANABER (ST. MARY) CHURCHYARD,11,1,12,United Kingdom,Merionethshire
LLANAELHAEARN (ST. AELHAIARN) CHURCHYARD,1,1,2,United Kingdom,Caernarvonshire
LLANALLGO (ST. ALLGO) CHURCHYARD,1,1,2,United Kingdom,Anglesey
LLANARMON (ST. GARMON) CHURCHYARD,1,,1,United Kingdom,Denbighshire
LLANARTHNEY (ST. DAVID) CHURCHYARD,1,1,2,United Kingdom,Carmarthenshire
LLANASA (SS. ASAPH AND CYNDEYRN) CHURCHYARD AND EXTENSION,3,,3,United Kingdom,Flintshire
LLANBADARN FAWR CEMETERY,1,,1,United Kingdom,Cardiganshire
LLANBADARNFAWR (ST. PADARN) CHURCHYARD,1,,1,United Kingdom,Radnorshire
LLANBEBLIG (ST. PEBLIG) CHURCHYARD,32,1,33,United Kingdom,Caernarvonshire
"LLANBEBLIG PUBLIC CEMETERY, CAERNARFON",5,47,52,United Kingdom,Caernarvonshire
LLANBEDR (MORIAH) CALVINISTIC METHODIST CHAPELYARD,1,1,2,United Kingdom,Merionethshire
LLANBEDR (SALEM) BAPTIST CHAPELYARD,2,,2,United Kingdom,Merionethshire
LLANBEDR DYFFRYN CLWYD (ST. PETER) CHURCHYARD,1,1,2,United Kingdom,Denbighshire
LLANBEDR-Y-CENNIN (ST. PETER) CHURCHYARD,1,,1,United Kingdom,Caernarvonshire
LLANBEDRGOCH (ST. PETER) CHURCHYARD,1,1,2,United Kingdom,Anglesey
LLANBEDROG CEMETERY,3,1,4,United Kingdom,Caernarvonshire
LLANBERIS (ST. PERIS) CHURCHYARD,7,4,11,United Kingdom,Caernarvonshire
LLANBEULAN (ST. PEULAN) CHURCHYARD,1,,1,United Kingdom,Anglesey
LLANBISTER (HEPHZIBAH) BAPTIST CHAPELYARD,1,,1,United Kingdom,Radnorshire
LLANBLETHIAN (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Glamorganshire
LLANBRYNMAIR CONGREGATIONAL CHAPELYARD EXTENSION,1,1,2,United Kingdom,Montgomeryshire
LLANCARFAN (ST. CADOC) CHURCHYARD,1,1,2,United Kingdom,Glamorganshire
LLANDDEINIOLEN (MACHPELAH) CEMETERY,7,,7,United Kingdom,Caernarvonshire
LLANDDEINIOLEN (ST. DEINIOLEN) CHURCHYARD,7,1,8,United Kingdom,Caernarvonshire
LLANDDEWI BREFI CEMETERY,2,,2,United Kingdom,Cardiganshire
LLANDDEWI RYDDERCH (ST. DAVID) CHURCHYARD,1,,1,United Kingdom,Monmouthshire
LLANDDONA (ST. DONA) CHURCHYARD,1,1,2,United Kingdom,Anglesey
LLANDDOWROR (ST. TEILO) CHURCHYARD,1,,1,United Kingdom,Carmarthenshire
LLANDDULAS (ST. CYNBRYD) CHURCHYARD,2,3,5,United Kingdom,Denbighshire
LLANDDWYWE (ST. DWYWR) CHURCHYARD,5,1,6,United Kingdom,Merionethshire
LLANDEGFAN (ST. TEGFAN) CHURCHYARD,2,,2,United Kingdom,Anglesey
LLANDEGLEY (ST. TEGLA) CHURCHYARD,1,,1,United Kingdom,Radnorshire
LLANDEGVETH (ST. TEGFEDD) CHURCHYARD,1,,1,United Kingdom,Monmouthshire
LLANDILO (BETHEL) CALVINISTIC METHODIST CHAPELYARD,1,1,2,United Kingdom,Carmarthenshire
LLANDILO FAWR (ST. TEILO) CHURCHYARD,2,3,5,United Kingdom,Carmarthenshire
LLANDINAM (ST. LLONIO) CHURCHYARD,3,,3,United Kingdom,Montgomeryshire
LLANDINGAT (ST. DINGAT) CHURCHYARD,1,3,4,United Kingdom,Carmarthenshire
LLANDINORWIG CHURCHYARD,4,1,5,United Kingdom,Caernarvonshire
LLANDOGO (ST. DOCHWE) CHURCHYARD,2,1,3,United Kingdom,Monmouthshire
LLANDOUGH (ST. DOCHDWY) CHURCHYARD,2,1,3,United Kingdom,Glamorganshire
LLANDRILLO (BRYNLLAN) CEMETERY,1,,1,United Kingdom,Merionethshire
LLANDRILLO-YN-RHOS (ST. TRILLO) CHURCHYARD,2,6,8,United Kingdom,Denbighshire
LLANDRINDOD WELLS CEMETERY,8,4,12,United Kingdom,Radnorshire
LLANDUDNO (GREAT ORME'S HEAD) CEMETERY,18,18,36,United Kingdom,Caernarvonshire
LLANDUDNO (ST. TUDNO) CHURCHYARD,4,1,5,United Kingdom,Caernarvonshire
LLANDWROG (BRYNRODYN) CEMETERY,3,1,4,United Kingdom,Caernarvonshire
LLANDWROG CONSECRATED CEMETERY,1,,1,United Kingdom,Caernarvonshire
LLANDYBIE (ST. TYBIE) CHURCHYARD,2,4,6,United Kingdom,Carmarthenshire
LLANDYFRIOG (ST. TYFRIOG) CHURCHYARD,5,,5,United Kingdom,Cardiganshire
LLANDYGAI (ST. TEGAI) CHURCHYARD,2,,2,United Kingdom,Caernarvonshire
LLANDYGWYDD (ST. TYGWYDD) CHURCHYARD,1,,1,United Kingdom,Cardiganshire
LLANDYSILIO (SS. TYSSILIO AND MARY) CHURCHYARD,7,1,8,United Kingdom,Anglesey
LLANDYSILIO (ST. TYSILIO) CHURCHYARD,2,,2,United Kingdom,Montgomeryshire
LLANDYSSUL (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Cardiganshire
LLANEDEYRN (ST. EDEYRN) CHURCHYARD,1,,1,United Kingdom,Glamorganshire
LLANEDWEN (ST. EDWEN) CHURCHYARD,1,,1,United Kingdom,Anglesey
LLANEGRYN (ST. EGRYN) CHURCHYARD,2,,2,United Kingdom,Merionethshire
LLANEGWAD (ST. EGWAD) CHURCHYARD,1,,1,United Kingdom,Carmarthenshire
LLANEILIAN (ST. EILIAN) CHURCHYARD,1,,1,United Kingdom,Anglesey
LLANELLI (CAPEL NEWYDD) CALVINIST METHODIST CHAPELYARD,2,,2,United Kingdom,Carmarthenshire
LLANELLI (OLD ROAD) CEMETERY,11,10,21,United Kingdom,Carmarthenshire
LLANELLI DISTRICT CEMETERY,28,28,56,United Kingdom,Carmarthenshire
LLANELLTYD CEMETERY,1,1,2,United Kingdom,Merionethshire
"LLANELLY (ST. ELLYW) CHURCHYARD, NO.2 EXTENSION",1,3,4,United Kingdom,Brecknockshire
LLANENDDWYN (HOREB) CALVINISTIC METHODIST CHAPELYARD,2,1,3,United Kingdom,Merionethshire
LLANENDDWYN (ST. ENDDWYN) CHURCHYARD,3,1,4,United Kingdom,Merionethshire
LLANENGAN (BWLCH) CALVINISTIC METHODIST CHAPELYARD,2,,2,United Kingdom,Caernarvonshire
LLANENGAN (ST. EINION) CHURCHYARD,2,2,4,United Kingdom,Caernarvonshire
LLANERFYL (ST. ERFYL) CHURCHYARD,1,,1,United Kingdom,Montgomeryshire
LLANFABON (ST. MABON) CHURCHYARD,2,,2,United Kingdom,Glamorganshire
LLANFABON CEMETERY,4,4,8,United Kingdom,Glamorganshire
LLANFACHRAETH (PONT-YR-ARW) BAPTIST CHAPELYARD,1,,1,United Kingdom,Anglesey
LLANFACHRAETH (ST. MACHRAETH) CHURCHYARD,3,,3,United Kingdom,Merionethshire
LLANFAETHLU (ST. MAETHLU) CHURCHYARD,1,,1,United Kingdom,Anglesey
LLANFAIR (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Merionethshire
LLANFAIR CAEREINION (SOAR) CALVINISTIC METHODIST CHAPELYARD,1,,1,United Kingdom,Montgomeryshire
LLANFAIR CAEREINION (ST. MARY) CHURCHYARD EXTENSION,3,,3,United Kingdom,Montgomeryshire
LLANFAIR CLYDOGAU (ST. MARY) CHURCHYARD,2,1,3,United Kingdom,Cardiganshire
LLANFAIR DYFFRYN CLWYD (ST. MARY) CHURCHYARD,2,1,3,United Kingdom,Denbighshire
LLANFAIR TALHAIARN OLD CEMETERY,2,,2,United Kingdom,Denbighshire
LLANFAIR-IS-GAER (ST. MARY) CHURCHYARD,6,2,8,United Kingdom,Caernarvonshire
LLANFAIR-MATHAFARN-EITHAF (ST. MARY) CHURCHYARD,1,2,3,United Kingdom,Anglesey
LLANFAIR-PWLLGWYNGYLL (ST. MARY) CHURCHYARD,3,2,5,United Kingdom,Anglesey
LLANFAIRFECHAN (ERW FEIRIOL) CEMETERY,2,3,5,United Kingdom,Caernarvonshire
LLANFAIRYNGHORNWY (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Anglesey
LLANFECHAN (ST. GARMON) CHURCHYARD,1,2,3,United Kingdom,Montgomeryshire
LLANFECHELL (ST. MECHELL) CHURCHYARD,1,1,2,United Kingdom,Anglesey
LLANFFINAN (ST. FFINAN) CHURCHYARD,1,,1,United Kingdom,Anglesey
LLANFIHANGEL GENEUR GLYN (ST. MICHAEL) CHURCHYARD EXTENSION,2,,2,United Kingdom,Cardiganshire
LLANFIHANGEL PONTYMOEL (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Monmouthshire
LLANFIHANGEL TRE'R BEIRDD (ST. MICHAEL) CHURCHYARD,2,,2,United Kingdom,Anglesey
LLANFIHANGEL YSTRAD (ST. MICHAEL) CHURCHYARD,2,,2,United Kingdom,Cardiganshire
LLANFIHANGEL-AR-ARTH (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Carmarthenshire
LLANFIHANGEL-Y-TRAETHAU (ST. MICHAEL) CHURCHYARD,3,,3,United Kingdom,Merionethshire
LLANFIHANGEL-YNG-NGWYNFA CEMETERY,1,,1,United Kingdom,Montgomeryshire
LLANFOIST (ST. FAITH) CHURCHYARD,2,,2,United Kingdom,Monmouthshire
